Agency, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
DOHMH, 40.95, 45.96, 48.74, 50.28, 52.22, 54.58, 56.5, 
NYPD, 0.37, 0.37, 0.38, 0.38, 0.38, 0.39, 0.41, 
DSNY, 9.62, 10.35, 10.29, 10.24, 10.28, 10.46, 10.53, 
DEP, 17.62, 17.81, 17.63, 17.74, 17.81, 17.85, 17.97, 
DPR, 107.28, 109.68, 106.97, 102.82, 103.75, 103.66, 103.7, 
DOB, 95.35, 93.23, 95.45, 91.67, 93.74, 94.32, 95.96, 
DOT, 16.09, 16.08, 15.84, 15.94, 15.97, 16.21, 16.22, 
HPD, 33.39, 36.8, 36.78, 37.15, 38.01, 39.17, 39.44, 
