Agency, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
DOHMH, 49.84, 54.36, 58.13, 60.92, 63.85, 67.79, 72.18, 
NYPD, 0.38, 0.39, 0.39, 0.4, 0.4, 0.41, 0.44, 
DSNY, 13.82, 14.38, 14.12, 13.84, 13.5, 13.13, 13.38, 
DEP, 27.2, 28.32, 27.64, 26.23, 24.49, 23.3, 24.54, 
DPR, 103.61, 107.43, 109.61, 112.69, 118.38, 122.06, 126.77, 
DOB, 87.81, 91.2, 93.89, 96.42, 98.56, 100.98, 104.01, 
DOT, 20.21, 21.31, 21.15, 20.29, 19.13, 18.6, 19.59, 
HPD, 36.73, 38.99, 38.97, 38.4, 38.31, 38.63, 40.07, 
