Agency, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
DOHMH, 40.02, 44.25, 47.22, 49.58, 51.8, 53.93, 55.32, 
NYPD, 0.37, 0.37, 0.38, 0.38, 0.38, 0.25, 0.28, 
DSNY, 8.95, 9.81, 9.66, 9.61, 9.62, 9.94, 10.08, 
DEP, 17.11, 17.18, 16.65, 16.65, 16.68, 16.78, 16.94, 
DPR, 107.14, 103.31, 102.93, 102.98, 105.92, 104.82, 106.81, 
DOB, 75.15, 76.27, 74.62, 74.1, 74.54, 74.1, 71.51, 
DOT, 15.55, 15.45, 15.43, 15.5, 15.65, 16.1, 16.49, 
HPD, 33.83, 37.34, 37.13, 37.67, 38.81, 39.79, 40.22, 
