Agency, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
DOHMH, 39.95, 45.07, 48.74, 51.33, 53.62, 55.06, 56.14, 
NYPD, 0.42, 0.43, 0.42, 0.42, 0.42, 0.42, 0.44, 
DSNY, 10.33, 11.03, 11.24, 11.39, 11.55, 11.78, 11.62, 
DEP, 18.76, 19.04, 19.07, 19.16, 19.22, 19.26, 18.8, 
DPR, 184.76, 151.82, 143.6, 147.91, 151.81, 142.8, 135.94, 
DOB, 130.3, 136.92, 131.71, 144.8, 128.04, 135.11, 147.57, 
DOT, 14.98, 15.47, 15.49, 15.85, 16.02, 16.46, 16.33, 
HPD, 33.31, 36.73, 36.93, 37.18, 37.26, 37.74, 37.88, 
