Agency, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
DOHMH, 54.58, 58.13, 61.04, 63.55, 65.95, 68.78, 71.9, 
NYPD, 0.38, 0.39, 0.39, 0.39, 0.4, 0.27, 0.3, 
DSNY, 13.75, 14.16, 13.98, 13.78, 13.58, 13.43, 13.67, 
DEP, 26.32, 27.07, 26.07, 25.12, 23.99, 23.2, 23.89, 
DPR, 102.15, 103.94, 104.46, 106.16, 107.96, 108.64, 111.07, 
DOB, 75.16, 76.87, 78.27, 77.78, 77.59, 77.07, 75.82, 
DOT, 19.36, 19.97, 19.78, 19.22, 18.57, 18.28, 18.9, 
HPD, 36.61, 38.0, 38.14, 38.26, 38.69, 39.54, 41.0, 
