Agency, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
DOHMH, 41.02, 45.59, 48.33, 50.06, 52.07, 54.11, 55.39, 
NYPD, 0.37, 0.38, 0.38, 0.38, 0.38, 0.39, 0.4, 
DSNY, 8.96, 9.87, 9.75, 9.77, 9.76, 10.08, 10.13, 
DEP, 17.14, 17.33, 17.34, 17.45, 17.49, 17.47, 17.54, 
DPR, 118.92, 123.87, 126.37, 121.61, 111.6, 105.96, 106.34, 
DOB, 76.09, 78.34, 76.75, 77.09, 77.49, 76.58, 75.0, 
DOT, 15.02, 15.16, 15.03, 15.16, 15.31, 15.75, 16.04, 
HPD, 33.3, 37.12, 36.88, 37.4, 38.69, 39.51, 39.77, 
