Agency, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
DOHMH, 40.49, 44.08, 47.2, 49.97, 52.7, 55.11, 56.71, 
NYPD, 0.38, 0.38, 0.39, 0.4, 0.39, 0.4, 0.43, 
DSNY, 9.96, 10.9, 10.84, 10.76, 10.58, 10.98, 11.19, 
DEP, 17.34, 17.1, 17.02, 16.94, 17.02, 17.26, 17.41, 
DPR, 257.99, 269.35, 282.27, 319.92, 308.83, 312.98, 265.83, 
DOB, 118.32, 122.73, 123.53, 121.46, 122.33, 129.05, 158.83, 
DOT, 14.98, 15.05, 15.3, 15.5, 15.78, 16.28, 16.56, 
HPD, 35.25, 40.57, 43.72, 45.63, 46.78, 47.54, 46.95, 
