Agency, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
DOHMH, 40.34, 44.63, 47.77, 49.99, 52.56, 54.96, 56.74, 
NYPD, 0.41, 0.41, 0.41, 0.41, 0.41, 0.41, 0.44, 
DSNY, 9.55, 10.19, 10.33, 10.41, 10.4, 10.68, 10.86, 
DEP, 17.36, 17.58, 17.5, 17.6, 17.6, 17.73, 17.75, 
DPR, 275.02, 204.72, 182.72, 153.38, 174.82, 154.13, 169.31, 
DOB, 169.22, 119.02, 137.17, 136.74, 144.65, 143.54, 145.58, 
DOT, 15.18, 15.19, 15.12, 15.33, 15.5, 15.88, 15.92, 
HPD, 32.41, 35.75, 35.93, 36.29, 37.22, 38.25, 38.4, 
