Predicted1,Real1,Predicted7,Real7
219.6346659349804,279.5,208.71510655731504,267.0
242.15842762933764,218.0,260.3391404635793,244.0
202.6321805308146,249.0,218.58561414472683,248.0
224.39515105123337,218.0,229.12569024426966,121.0
210.9819701258128,235.5,216.59729141739217,167.0
224.12206488795144,281.5,212.3420020039299,171.0
263.21120021303335,267.0,236.28556874316442,203.0
266.2561295729434,244.0,244.6643947271648,237.5
233.1633677050969,248.0,239.26495866955915,218.0
237.0933497641795,121.0,238.92595818549412,228.0
174.0775116509524,167.0,195.1325891385886,142.0
188.9456106075999,171.0,204.62978919932027,207.0
209.2338272124508,203.0,215.87591065975417,194.0
219.63090137826552,237.5,228.71539622525606,217.0
234.84846775447375,218.0,258.16088467043977,199.0
211.84786538641075,228.0,230.9959905478523,218.0
195.67953734953758,142.0,223.011157231408,229.0
173.31691000215199,207.0,173.3040876900624,176.0
216.81190969507188,194.0,177.97947515195264,191.0
229.71754817446424,217.0,192.76470029889379,219.0
239.68938242320075,199.0,209.0355240472461,215.0
214.2024722415584,218.0,208.63023671653343,190.0
204.79546686000694,229.0,222.48915460477303,271.0
181.68155964247805,176.0,207.97930817279476,244.5
182.07413776939322,191.0,188.33086031386094,193.0
194.70380587217755,219.0,188.16291454119118,203.0
218.6166392160463,215.0,202.7474170696935,194.0
220.70742017523136,190.0,212.0620431172068,198.0
203.2298439181064,271.0,201.59922595142316,194.0
234.25718372109918,244.5,235.57387815867324,259.0
208.237485948815,193.0,218.30419396579114,254.0
198.43888458734463,203.0,202.27905617339093,156.0
208.78310487795252,194.0,196.65772416165694,209.5
206.07287527519665,198.0,201.3941263109581,208.0
205.29956021325313,194.0,206.00372130645306,216.0
219.41860456937516,259.0,209.29121166527395,238.0
234.3249545673613,254.0,241.3980911484091,244.5
215.9694254302286,156.0,239.5667012375427,210.0
179.41177289100582,209.5,195.03183622967603,184.0
201.8304980247026,208.0,200.24521047209177,152.5
210.2301224809672,216.0,206.26643769272243,170.0
220.1312669770103,238.0,202.7789341084139,175.0
250.7124269211938,244.5,226.56327946773266,192.0
236.48999330348485,210.0,235.32495530384276,198.0
191.86752044788923,184.0,217.8445068055854,191.0
192.8283366296057,152.5,198.14195983673395,173.0
180.18436576390843,170.0,182.2109313331955,146.0
191.13113443871814,175.0,194.83626633000003,77.0
206.22758911260573,192.0,198.5146007315295,143.0
213.56356399361118,198.0,212.53915446467457,147.0
197.08409479951982,191.0,224.2557428367886,162.0
176.04866194686556,173.0,198.39016580141666,199.0
174.31826892484378,146.0,185.17020138139233,137.0
171.00292036060998,77.0,166.03993621354655,166.0
147.7111609193898,143.0,139.25450840397522,206.0
