Agency, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
DOHMH, 41.02, 44.93, 47.7, 49.5, 52.12, 54.38, 55.51, 
NYPD, 0.4, 0.41, 0.41, 0.41, 0.41, 0.42, 0.44, 
DSNY, 9.37, 10.3, 10.3, 10.41, 10.43, 10.8, 10.99, 
DEP, 17.14, 17.33, 17.36, 17.49, 17.49, 17.57, 17.6, 
DPR, 372.86, 453.53, 506.48, 521.52, 593.37, 453.95, 342.37, 
DOB, 121.38, 120.25, 115.92, 144.06, 130.76, 135.48, 127.24, 
DOT, 14.66, 15.04, 15.11, 15.26, 15.46, 15.9, 16.18, 
HPD, 32.23, 36.19, 36.24, 36.96, 38.63, 39.68, 39.75, 
