Agency, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
DOHMH, 40.38, 43.85, 46.81, 49.22, 51.92, 54.47, 55.82, 
NYPD, 0.43, 0.43, 0.43, 0.44, 0.44, 0.37, 0.4, 
DSNY, 9.78, 10.63, 10.62, 10.62, 10.45, 10.81, 10.97, 
DEP, 17.46, 17.45, 16.95, 16.94, 16.95, 17.17, 17.13, 
DPR, 272.4, 250.28, 240.12, 222.05, 206.16, 239.49, 260.7, 
DOB, 113.46, 123.44, 141.79, 134.26, 125.24, 133.17, 132.59, 
DOT, 15.29, 15.29, 15.19, 15.34, 15.57, 16.03, 16.3, 
HPD, 34.13, 38.48, 38.06, 38.55, 39.45, 40.82, 41.55, 
