Agency, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
DOHMH, 40.92, 46.54, 50.27, 51.55, 53.83, 54.88, 55.99, 
NYPD, 0.38, 0.38, 0.38, 0.38, 0.38, 0.39, 0.41, 
DSNY, 10.78, 11.6, 11.5, 11.46, 11.49, 11.66, 11.51, 
DEP, 19.17, 19.42, 19.42, 19.44, 19.46, 19.47, 19.43, 
DPR, 104.7, 127.14, 125.52, 114.72, 114.9, 112.47, 108.9, 
DOB, 98.29, 98.59, 97.8, 97.15, 98.33, 98.9, 101.79, 
DOT, 16.82, 17.34, 17.25, 17.24, 17.26, 17.41, 17.71, 
HPD, 33.93, 37.26, 38.07, 38.36, 38.47, 39.18, 38.92, 
