Agency, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
DOHMH, 54.91, 57.51, 59.59, 61.65, 63.59, 65.76, 68.1, 
NYPD, 0.21, 0.22, 0.23, 0.23, 0.24, 0.25, 0.28, 
DSNY, 13.72, 14.0, 13.58, 13.32, 13.17, 13.06, 13.24, 
DEP, 24.68, 25.1, 24.4, 23.78, 23.04, 22.49, 23.02, 
DPR, 98.25, 99.56, 100.05, 100.96, 101.89, 102.45, 104.39, 
DOB, 70.11, 71.55, 72.12, 72.49, 72.93, 73.05, 73.46, 
DOT, 19.43, 19.68, 19.48, 19.14, 18.78, 18.68, 19.17, 
HPD, 37.06, 38.6, 39.14, 39.75, 40.41, 41.48, 42.99, 
