Agency, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
DOHMH, 48.55, 55.34, 60.42, 63.88, 67.74, 72.55, 78.77, 
NYPD, 0.39, 0.4, 0.41, 0.42, 0.43, 0.44, 0.47, 
DSNY, 15.57, 16.96, 16.75, 16.19, 15.47, 14.64, 15.35, 
DEP, 31.02, 33.72, 32.99, 30.76, 27.43, 25.33, 29.26, 
DPR, 102.5, 105.1, 107.35, 111.84, 116.48, 119.99, 131.08, 
DOB, 103.21, 106.28, 112.98, 112.58, 119.05, 122.07, 131.51, 
DOT, 22.61, 24.87, 24.65, 23.12, 20.89, 19.91, 23.26, 
HPD, 40.61, 45.09, 45.29, 44.13, 44.02, 45.59, 48.74, 
