Agency, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
DOHMH, 39.99, 43.93, 46.98, 49.69, 52.02, 54.42, 56.08, 
NYPD, 0.21, 0.22, 0.22, 0.22, 0.24, 0.24, 0.27, 
DSNY, 9.02, 9.91, 9.66, 9.53, 9.52, 9.91, 10.14, 
DEP, 16.57, 16.53, 16.38, 16.34, 16.5, 16.57, 16.83, 
DPR, 126.05, 104.62, 109.18, 111.99, 113.52, 109.53, 109.46, 
DOB, 76.42, 73.59, 73.02, 74.36, 74.21, 74.19, 72.07, 
DOT, 15.41, 15.27, 15.23, 15.26, 15.43, 15.94, 16.35, 
HPD, 34.57, 38.08, 38.16, 39.01, 40.11, 41.2, 41.6, 
