Complaint, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
HEAT_HOT WATER, 11.45, 14.04, 14.68, 15.15, 15.71, 16.58, 16.98, 
Noise - Residential, 0.31, 0.32, 0.32, 0.32, 0.32, 0.32, 0.34, 
Illegal Parking, 0.65, 0.65, 0.65, 0.65, 0.65, 0.66, 0.67, 
Blocked Driveway, 0.65, 0.65, 0.66, 0.66, 0.66, 0.65, 0.66, 
Street Condition, 18.83, 20.35, 21.43, 22.09, 22.87, 23.25, 23.27, 
UNSANITARY CONDITION, 61.78, 65.07, 69.29, 72.73, 76.25, 79.27, 81.74, 
Water System, 6.22, 6.38, 6.48, 6.49, 6.48, 6.45, 6.46, 
Street Light Condition, 19.48, 18.68, 18.78, 18.83, 18.94, 19.35, 19.46, 
Noise - Street_Sidewalk, 0.55, 0.56, 0.57, 0.58, 0.58, 0.58, 0.58, 
PAINT_PLASTER, 60.7, 63.79, 66.09, 68.35, 70.55, 72.33, 73.21, 
Noise, 28.22, 29.59, 29.22, 29.87, 30.62, 31.61, 30.91, 
PLUMBING, 69.0, 71.0, 73.18, 75.25, 77.52, 79.67, 81.79, 
Noise - Commercial, 0.5, 0.5, 0.49, 0.5, 0.49, 0.49, 0.5, 
Traffic Signal Condition, 1.48, 1.52, 1.54, 1.54, 1.57, 1.58, 1.59, 
DOOR_WINDOW, 66.29, 68.15, 70.33, 73.4, 76.75, 79.56, 81.48, 
Sanitation Condition, 9.53, 9.92, 9.97, 9.92, 9.86, 10.2, 10.2, 
Dirty Conditions, 19.8, 22.82, 23.29, 23.23, 23.44, 23.7, 23.57, 
WATER LEAK, 73.26, 77.66, 77.63, 79.73, 84.26, 87.58, 91.94, 
Sewer, 4.44, 4.52, 4.42, 4.42, 4.41, 4.44, 4.45, 
Missed Collection (All Materials), 19.89, 22.74, 23.96, 24.84, 25.01, 24.95, 24.72, 
General Construction_Plumbing, 64.39, 65.21, 78.49, 70.35, 66.64, 86.53, 67.9, 
Derelict Vehicle, 1.18, 1.2, 1.17, 1.18, 1.18, 1.18, 1.2, 
Derelict Vehicles, 0.32, 0.32, 0.32, 0.33, 0.33, 0.33, 0.33, 
Building_Use, 308.82, 317.97, 381.02, 301.26, 427.04, 398.29, 344.77, 
Sidewalk Condition, 40.97, 43.85, 45.25, 45.64, 47.9, 50.62, 52.03, 
ELECTRIC, 70.95, 73.13, 72.51, 73.24, 75.27, 77.38, 78.21, 
GENERAL, 72.65, 73.88, 76.7, 78.15, 81.17, 84.06, 86.82, 
Noise - Vehicle, 0.57, 0.57, 0.57, 0.57, 0.57, 0.58, 0.59, 
FLOORING_STAIRS, 80.74, 81.99, 83.51, 84.62, 86.58, 88.41, 90.01, 
Rodent, 39.98, 44.97, 48.7, 51.33, 53.29, 55.16, 56.17, 
Damaged Tree, 137.36, 163.58, 193.74, 196.31, 200.91, 171.86, 164.82, 
