Complaint, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
HEAT_HOT WATER, 10.01, 11.9, 13.0, 13.93, 14.92, 16.14, 16.72, 
Noise - Residential, 0.3, 0.3, 0.3, 0.3, 0.31, 0.31, 0.34, 
Illegal Parking, 0.67, 0.67, 0.68, 0.67, 0.67, 0.57, 0.57, 
Blocked Driveway, 0.64, 0.64, 0.64, 0.65, 0.65, 0.58, 0.58, 
Street Condition, 18.18, 19.97, 21.22, 21.97, 22.87, 23.38, 23.62, 
UNSANITARY CONDITION, 66.65, 69.85, 73.79, 77.05, 80.29, 84.13, 87.65, 
Water System, 6.69, 6.92, 7.04, 7.02, 7.03, 7.01, 6.93, 
Street Light Condition, 18.22, 18.3, 18.4, 18.31, 18.36, 18.68, 18.82, 
Noise - Street_Sidewalk, 0.54, 0.54, 0.54, 0.55, 0.55, 0.54, 0.55, 
PAINT_PLASTER, 65.79, 69.94, 72.49, 74.55, 76.7, 79.15, 80.63, 
Noise, 25.91, 26.62, 26.7, 27.39, 28.0, 28.85, 29.13, 
PLUMBING, 73.86, 76.22, 78.86, 82.62, 85.43, 87.54, 90.58, 
Noise - Commercial, 0.49, 0.49, 0.48, 0.49, 0.49, 0.49, 0.48, 
Traffic Signal Condition, 1.53, 1.55, 1.6, 1.6, 1.62, 1.62, 1.61, 
DOOR_WINDOW, 73.07, 74.39, 76.98, 80.68, 83.93, 87.7, 90.14, 
Sanitation Condition, 8.73, 9.7, 9.73, 9.7, 9.64, 9.97, 10.05, 
Dirty Conditions, 21.1, 23.94, 24.33, 24.63, 25.0, 25.8, 26.09, 
WATER LEAK, 77.32, 80.62, 82.21, 85.21, 89.25, 93.75, 97.47, 
Sewer, 3.66, 3.72, 3.77, 4.0, 4.03, 4.19, 4.39, 
Missed Collection (All Materials), 21.06, 23.11, 23.77, 24.25, 24.19, 24.53, 24.43, 
General Construction_Plumbing, 113.38, 123.93, 114.67, 82.29, 100.99, 100.26, 95.15, 
Derelict Vehicle, 1.12, 1.14, 1.13, 1.14, 1.15, 1.03, 1.04, 
Derelict Vehicles, 0.34, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 
Building_Use, 258.82, 272.56, 287.29, 301.21, 308.78, 321.99, 391.46, 
Sidewalk Condition, 41.51, 42.57, 43.71, 45.82, 48.24, 49.57, 50.58, 
ELECTRIC, 76.18, 77.78, 78.52, 80.22, 81.88, 84.16, 84.93, 
GENERAL, 75.96, 77.43, 80.43, 83.44, 87.2, 91.93, 95.52, 
Noise - Vehicle, 0.57, 0.57, 0.58, 0.59, 0.58, 0.56, 0.58, 
FLOORING_STAIRS, 87.09, 87.65, 90.17, 91.11, 93.14, 95.66, 98.12, 
Rodent, 40.37, 43.85, 46.81, 49.21, 51.93, 54.48, 55.82, 
Damaged Tree, 372.96, 361.48, 350.0, 341.48, 320.81, 332.17, 377.9, 
