Complaint, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
HEAT_HOT WATER, 10.53, 12.59, 13.3, 14.08, 14.88, 16.04, 16.69, 
Noise - Residential, 0.32, 0.32, 0.33, 0.32, 0.33, 0.33, 0.36, 
Illegal Parking, 0.63, 0.64, 0.64, 0.64, 0.64, 0.64, 0.64, 
Blocked Driveway, 0.62, 0.62, 0.63, 0.63, 0.63, 0.63, 0.63, 
Street Condition, 18.29, 20.1, 21.01, 21.75, 22.59, 23.04, 23.19, 
UNSANITARY CONDITION, 62.95, 68.42, 72.28, 75.27, 78.66, 82.75, 86.83, 
Water System, 6.21, 6.41, 6.45, 6.44, 6.41, 6.37, 6.33, 
Street Light Condition, 18.69, 17.57, 17.6, 17.53, 17.47, 17.69, 18.01, 
Noise - Street_Sidewalk, 0.54, 0.55, 0.55, 0.56, 0.56, 0.56, 0.56, 
PAINT_PLASTER, 62.26, 65.51, 67.74, 70.53, 72.26, 74.52, 76.16, 
Noise, 25.58, 25.89, 25.82, 26.58, 27.33, 28.28, 28.57, 
PLUMBING, 68.39, 71.07, 73.61, 76.91, 79.52, 82.16, 85.62, 
Noise - Commercial, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.5, 
Traffic Signal Condition, 1.46, 1.5, 1.52, 1.53, 1.55, 1.54, 1.51, 
DOOR_WINDOW, 67.95, 68.75, 71.27, 74.06, 77.07, 80.28, 82.4, 
Sanitation Condition, 8.64, 9.43, 9.4, 9.35, 9.34, 9.76, 9.85, 
Dirty Conditions, 19.49, 22.02, 22.45, 22.34, 22.48, 22.87, 22.99, 
WATER LEAK, 74.83, 78.88, 79.71, 82.7, 86.22, 89.48, 93.28, 
Sewer, 4.11, 4.22, 4.24, 4.32, 4.3, 4.13, 4.05, 
Missed Collection (All Materials), 19.69, 21.73, 22.79, 23.28, 23.5, 23.87, 23.84, 
General Construction_Plumbing, 112.31, 140.91, 100.94, 118.9, 79.98, 79.68, 129.76, 
Derelict Vehicle, 1.13, 1.16, 1.16, 1.16, 1.16, 1.17, 1.18, 
Derelict Vehicles, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 
Building_Use, 423.61, 364.45, 299.11, 310.85, 290.78, 291.63, 314.7, 
Sidewalk Condition, 41.42, 42.73, 43.61, 44.76, 47.47, 49.77, 50.7, 
ELECTRIC, 71.71, 74.51, 77.01, 78.08, 79.93, 80.5, 80.51, 
GENERAL, 72.53, 74.49, 76.95, 79.4, 81.78, 85.47, 88.39, 
Noise - Vehicle, 0.55, 0.55, 0.55, 0.56, 0.56, 0.57, 0.58, 
FLOORING_STAIRS, 81.01, 82.26, 84.47, 85.88, 88.4, 89.97, 92.36, 
Rodent, 40.39, 44.72, 47.75, 49.94, 52.58, 54.98, 56.72, 
Damaged Tree, 294.65, 288.3, 219.79, 225.78, 257.8, 150.41, 202.62, 
