Complaint, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
HEAT_HOT WATER, 10.67, 13.25, 14.4, 15.28, 15.88, 16.64, 17.13, 
Noise - Residential, 0.26, 0.27, 0.26, 0.26, 0.26, 0.26, 0.29, 
Illegal Parking, 0.6, 0.6, 0.6, 0.61, 0.61, 0.61, 0.62, 
Blocked Driveway, 0.57, 0.57, 0.57, 0.57, 0.58, 0.58, 0.59, 
Street Condition, 18.14, 19.82, 20.69, 21.35, 22.21, 22.81, 23.15, 
UNSANITARY CONDITION, 67.33, 71.87, 76.33, 79.69, 83.35, 85.88, 89.96, 
Water System, 6.31, 6.53, 6.6, 6.61, 6.64, 6.54, 6.51, 
Street Light Condition, 17.48, 17.69, 17.7, 17.71, 17.73, 17.84, 17.89, 
Noise - Street_Sidewalk, 0.53, 0.54, 0.54, 0.54, 0.54, 0.53, 0.54, 
PAINT_PLASTER, 64.24, 69.25, 71.85, 74.25, 75.42, 76.69, 77.69, 
Noise, 26.22, 26.62, 26.61, 26.99, 27.37, 28.06, 28.06, 
PLUMBING, 70.3, 73.27, 75.42, 78.44, 80.75, 82.96, 86.22, 
Noise - Commercial, 0.47, 0.47, 0.47, 0.48, 0.48, 0.48, 0.48, 
Traffic Signal Condition, 1.37, 1.4, 1.4, 1.41, 1.42, 1.42, 1.42, 
DOOR_WINDOW, 70.68, 73.03, 73.75, 76.51, 78.74, 81.47, 83.37, 
Sanitation Condition, 8.49, 9.38, 9.29, 9.27, 9.24, 9.73, 9.9, 
Dirty Conditions, 19.93, 22.56, 22.97, 23.04, 23.38, 23.83, 24.03, 
WATER LEAK, 74.35, 77.4, 78.64, 80.82, 84.62, 88.05, 91.77, 
Sewer, 3.23, 3.24, 3.16, 3.07, 3.09, 3.09, 3.05, 
Missed Collection (All Materials), 20.55, 22.75, 23.25, 23.72, 23.74, 23.94, 23.92, 
General Construction_Plumbing, 41.47, 44.52, 42.74, 43.38, 43.75, 42.59, 42.34, 
Derelict Vehicle, 1.15, 1.16, 1.15, 1.16, 1.16, 1.16, 1.18, 
Derelict Vehicles, 0.34, 0.33, 0.33, 0.33, 0.33, 0.34, 0.34, 
Building_Use, 148.85, 141.36, 142.78, 141.29, 143.15, 138.35, 140.79, 
Sidewalk Condition, 37.34, 39.84, 40.97, 42.34, 44.4, 44.99, 45.74, 
ELECTRIC, 73.15, 75.45, 75.35, 76.94, 79.4, 80.91, 81.49, 
GENERAL, 75.15, 77.42, 80.2, 83.28, 88.11, 92.03, 95.79, 
Noise - Vehicle, 0.54, 0.55, 0.55, 0.55, 0.55, 0.55, 0.56, 
FLOORING_STAIRS, 86.08, 86.01, 87.81, 88.06, 90.78, 93.62, 96.81, 
Rodent, 41.02, 45.6, 48.33, 50.06, 52.07, 54.1, 55.38, 
Damaged Tree, 117.08, 126.16, 111.1, 125.42, 124.23, 116.53, 110.83, 
