Complaint, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
HEAT_HOT WATER, 26.02, 34.06, 37.06, 35.94, 33.38, 35.14, 44.8, 
Noise - Residential, 0.34, 0.37, 0.42, 0.46, 0.5, 0.54, 0.59, 
Illegal Parking, 0.79, 0.88, 0.94, 0.98, 1.03, 1.07, 1.21, 
Blocked Driveway, 0.76, 0.86, 0.91, 0.99, 1.08, 1.11, 1.23, 
Street Condition, 36.56, 45.62, 49.18, 48.49, 46.78, 49.09, 60.05, 
UNSANITARY CONDITION, 78.98, 94.8, 104.4, 112.53, 117.22, 124.24, 138.03, 
Water System, 7.69, 9.34, 10.67, 11.73, 12.8, 13.59, 14.46, 
Street Light Condition, 43.33, 53.53, 57.51, 54.56, 48.67, 50.44, 63.56, 
Noise - Street_Sidewalk, 0.66, 0.78, 0.85, 0.93, 1.02, 1.11, 1.22, 
PAINT_PLASTER, 78.21, 93.47, 103.22, 112.1, 117.87, 126.81, 141.65, 
Noise, 68.31, 86.04, 90.86, 84.9, 74.91, 76.24, 101.0, 
PLUMBING, 82.5, 94.92, 107.86, 115.76, 119.19, 128.07, 143.72, 
Noise - Commercial, 0.62, 0.67, 0.72, 0.79, 0.85, 0.92, 0.99, 
Traffic Signal Condition, 1.79, 2.02, 2.1, 2.31, 2.55, 2.66, 2.93, 
DOOR_WINDOW, 79.45, 84.67, 89.96, 97.75, 105.12, 119.19, 132.4, 
Sanitation Condition, 16.4, 18.73, 19.7, 21.37, 23.07, 23.91, 25.14, 
Dirty Conditions, 29.27, 36.56, 39.82, 41.39, 42.62, 45.64, 53.31, 
WATER LEAK, 87.19, 100.98, 104.76, 110.83, 122.96, 135.68, 150.77, 
Sewer, 5.52, 6.21, 6.58, 6.96, 7.11, 7.41, 8.48, 
Missed Collection (All Materials), 27.2, 34.2, 39.07, 45.02, 49.94, 54.12, 60.19, 
General Construction_Plumbing, 55.76, 69.18, 74.03, 78.4, 81.51, 85.29, 98.42, 
Derelict Vehicle, 1.49, 1.72, 1.75, 1.86, 2.05, 2.17, 2.31, 
Derelict Vehicles, 0.42, 0.45, 0.52, 0.57, 0.61, 0.67, 0.73, 
Building_Use, 179.09, 193.15, 208.2, 229.62, 248.0, 259.05, 275.91, 
Sidewalk Condition, 73.02, 87.45, 91.82, 90.39, 86.79, 88.3, 106.72, 
ELECTRIC, 86.94, 100.09, 110.45, 121.0, 127.5, 138.08, 151.21, 
GENERAL, 80.65, 88.28, 97.26, 104.48, 111.85, 126.54, 140.75, 
Noise - Vehicle, 0.69, 0.73, 0.83, 0.88, 0.95, 1.05, 1.1, 
FLOORING_STAIRS, 97.93, 107.71, 120.6, 124.02, 134.5, 146.25, 168.45, 
Rodent, 51.86, 63.27, 71.16, 76.4, 84.03, 93.59, 106.05, 
Damaged Tree, 122.86, 133.01, 137.7, 148.04, 161.13, 174.21, 197.26, 
