Complaint, RMSE_1, RMSE_2, RMSE_3, RMSE_4, RMSE_5, RMSE_6, RMSE_7
HEAT_HOT WATER, 11.35, 14.07, 14.9, 15.56, 16.02, 16.65, 17.1, 
Noise - Residential, 0.27, 0.27, 0.27, 0.27, 0.27, 0.28, 0.3, 
Illegal Parking, 0.6, 0.6, 0.6, 0.61, 0.61, 0.62, 0.63, 
Blocked Driveway, 0.56, 0.57, 0.57, 0.58, 0.58, 0.58, 0.58, 
Street Condition, 18.82, 20.76, 21.51, 22.07, 22.65, 23.03, 23.32, 
UNSANITARY CONDITION, 65.78, 71.73, 74.96, 77.71, 80.73, 83.68, 88.11, 
Water System, 6.24, 6.45, 6.47, 6.48, 6.44, 6.33, 6.27, 
Street Light Condition, 19.3, 19.42, 19.39, 19.39, 19.39, 19.41, 19.34, 
Noise - Street_Sidewalk, 0.54, 0.55, 0.55, 0.56, 0.55, 0.55, 0.56, 
PAINT_PLASTER, 63.87, 68.17, 69.83, 71.93, 73.29, 75.17, 77.18, 
Noise, 26.26, 26.52, 26.65, 27.23, 27.68, 28.37, 28.76, 
PLUMBING, 67.96, 70.97, 73.19, 76.5, 78.15, 80.17, 83.62, 
Noise - Commercial, 0.47, 0.48, 0.47, 0.48, 0.48, 0.48, 0.49, 
Traffic Signal Condition, 1.34, 1.37, 1.38, 1.38, 1.37, 1.37, 1.38, 
DOOR_WINDOW, 69.41, 71.08, 72.23, 74.75, 77.12, 79.49, 81.9, 
Sanitation Condition, 8.87, 9.77, 9.73, 9.66, 9.77, 10.06, 10.09, 
Dirty Conditions, 19.73, 22.55, 23.06, 22.91, 22.98, 23.19, 23.39, 
WATER LEAK, 75.63, 79.21, 79.65, 81.82, 85.1, 88.15, 92.39, 
Sewer, 4.17, 4.23, 4.2, 4.21, 4.17, 3.92, 3.8, 
Missed Collection (All Materials), 20.32, 22.62, 23.42, 23.81, 23.9, 24.01, 24.04, 
General Construction_Plumbing, 37.01, 44.26, 43.33, 48.89, 55.77, 52.65, 47.69, 
Derelict Vehicle, 1.15, 1.17, 1.16, 1.16, 1.17, 1.18, 1.18, 
Derelict Vehicles, 0.33, 0.33, 0.33, 0.33, 0.33, 0.34, 0.34, 
Building_Use, 145.7, 141.77, 141.63, 151.62, 146.4, 144.43, 143.57, 
Sidewalk Condition, 38.65, 40.18, 41.17, 42.74, 44.87, 45.5, 46.16, 
ELECTRIC, 72.25, 74.11, 74.09, 74.92, 76.38, 78.47, 78.44, 
GENERAL, 72.68, 74.72, 77.63, 80.39, 82.81, 87.37, 90.54, 
Noise - Vehicle, 0.54, 0.54, 0.54, 0.54, 0.55, 0.56, 0.56, 
FLOORING_STAIRS, 81.2, 82.58, 84.08, 85.23, 87.98, 90.03, 92.71, 
Rodent, 41.01, 45.93, 48.71, 50.22, 52.23, 54.59, 56.51, 
Damaged Tree, 118.86, 124.98, 120.17, 114.48, 110.33, 109.22, 108.37, 
